english term	urdu equivalent
core, transformer core also called transformer iron	ٹرانسفارمر قالب
core laminations	ٹرانسفارمر پتری
core loss	ضیاع قالب: قالبی ضیاع
core, iron core, air core, core-less	لوہے کی قالب؛ خلائی قالب؛ بے قالب
Coriolis effect	کوریولس اثر
corollary	ضمنی نتیجہ
correction	درستگی، تصحیح
correlation analysis (statistics)	تجزیہ باہمی رشتہ
correlation, anti-correlation	باہمی رشتہ، باہم ضد رشتہ
corresponding point	نظیری نقطہ، مطابقتی نقطہ
corrugated	نالیدار
Copenhagen	کوپن ہیگن
cosine, cosine integral, complementary cosine integral	کوسائن، کوسائن تکمل، متمم کوسائن تکمل
cosine law	قانون کوسائن
cosmic rays	کائناتی شعاعیں
cost	لاگت
coupled: magnetically coupled circuits	رابطے میں ہیں۔مقناطیسی میدان کے ذریعہ آپس میں رابطے میں ہیں۔
Coulomb	کولمب
counter	گنت کار
counter	متضاد، بالمقابل
counter clock wise	متضاد گھڑی
counter emf	متضاد امالی برقی دباؤ
coupled: magnetically coupled circuits	رابطہ: مقناطیسی رابطہ
coupled circuits	مزدوج ادوار
coupler	وابستہ کار
coupling capacitor, bypass capacitor	جفتی کپیسٹر 
coupling coefficient: M=k(L1 L2)^(0.5)	ارتباطی مستقل
covalent bond, bonded	شریک گرفتی بندھ، بندھا
CPLDs	مخلوط قابلِ تشکیل ترتیبی ادوار
Cramer's rule	کریمر کا قاعدہ
crest: (read wave)	فراز
criteria	مسلمہ معیار، (نقطہ فاصل جانچنے کا مسلمہ معیار)
critical: critical damping	فاصل تقصیر
critical equilibrium, critical angle, critical function, value	نازکی توازن [فاصل توازن]، زاویہ فاصل، فاصل تفاعل، فاصل قیمت
critical point, value	فاصل نقطہ، فاصل قیمت، نقطہ فاصل
critical points (phase plane) improper node, proper node, saddle point, centre, spiral point and degenerate node	غیر مناسب جوڑ، مناسب جوڑ، نقطہ زین، وسط، نقطہ مرغولہ، انحطاطی جوڑ
critical race	بحرانی دوڑ
rejection region	خطہ نا منظوری
cross multiply (two men eat 4 eggs, how many men would eat 10 eggs)	ترچھی ضرب
cross product, vector product	صلیبی ضرب، ضربِ صلیبی، سمتی ضرب
cross section	عمودی تراش، قطع عمودی: زاویہ قائمہ بناتے ہوئے لمبائی میں کسی چیز کی کٹائی
cross sectional area	تراشی رقبہ
crude	خام
crystal	قلم
cube root	جذر الکعب
cubic equation	کعبی مساوات
cubic polynomial	کعبی کثیر رکنی
curious	غور طلب
curl of a function	گردش
curl free	بغیر گردش
curly	لہریا
current: conduction current, convection current, displacement current	ایصالی، اتصالی اور انتقالی رو
current flow	برقی رو کا گزر
current transformation	بروی رو کا تبادلہ
current, current carrying	رو، رو بردار
current: output HIGH current, output LOW current, input HIGH current	بلند خارجی برقی رو، پست خارجی برقی رو، بلند داخلی برقی رو، پست داخلی برقی رو
current sink	خارج کار برقی رو
current source	داخل کار برقی رو، پیدا کار برقی رو
curvature	انحنا
curvature: circle of curvature, radius of curvature	دائرہ انحنا، رداس انحنا
curvature: total curvature	مکمل انحنا
curve, curved surface	قوس، قوسی سطح
Curve	منحنی۔خطِ منحنی، منحنیات
curve fitting	تلاش موزوں منحنی
curve: simple curve	سادہ منحنی
curved   	مڑا ہوا، جھکا
curved line	خم دار خط، مُڑی لکیر، جھکی لکیر
curved surface	خم دار سطح
cusp	کنگرہ
Cut-off mode: transistor	منقطع حال
cycle, cyclic	پھیرا، چکر، چکردار
cycle	چکر، پھیرا
cycloid, hypocycloid, epicycloid	تدویر، فلک تدویر، بر تدویر
cyclotron	سائکلوٹران
cylinder	نلی، یکساں قطر والی نلی
cylindrical co-ordinate system	نلکی نظامِ محدد
current supply	برقی رو کی سپلائی
cylindrical surface	بیلنی سطح، اسطوانی سطح
D'Alembert's solution: Jean Baptiste Le Rond d'Alembert	ژاں باٹِیسٹ لی غوں دا لومبیغ
Darwin	ڈارون
dashpot	روک، جاذب
data	مواد
data: primary, secondary	ابتدائی مواد، ثانوعی مواد
datasheet	معلوماتی صفحات
damage	تباہ
damped, undamped	قصری، مقصور؛ غیر تقصیری، بلا تقصیر
damped: under, over, critically	کم مقصور، زیادہ مقصور، فاصل مقصور
damped motion, damped waves	قصری حرکت، مقصور حرکت، قصری امواج، مقصور امواج
damping constant, ratio	تقصیری مستقل، تقصیری تناسب
damping: under damping, over damping, critically damping	کم تقصیر، زیادہ تقصیر، فاصل تقصیر
undamped	غیر تقصیری، بلا تقصیر، غیر قصری
data points, numerical data points	موادی نقاط، اعدادی  موادی نقاط
David, David Scott	داؤد، داؤد سکاٹ
DC current, DC voltage	یک سمت رو، یک سمت برقی دباؤ
DC parallel connected self excited generator	یک سمتی متوازی جُڑی خُود ہیجان جنریٹر
DC self excited compound generator	یک سمت خُود ہیجان مرکب جنریٹر
DC separately excited generator	یک سمتی بیرونی ہیجان جنریٹر
DC series connected self excited generator	یک سمت سلسلہ وار جُڑی خُود ہیجان جنریٹر
de Broglie	ڈی بروگ لی
Deca; deca meter	ڈیکا
decay	تنزل
decay mode [quantum mech, of excited state]	انداز تنزل
decay: radioactive decay	تابکاری تحلیل، تابکاری تنزل
decay: inverse beta decay	مخالف بیٹا تحلیل، مخالف بیٹا تنزل
decoder	شناخت کار
decimal: 3D accuracy	تین اعشاریہ درست
decimal number	اعشاری عدد، عشری عدد
decimal point	نقطہ اعشاریہ
declare (a function in wxmaxima)	قرار دینا
decreasing: nondecreasing sequence	غیر گھٹتا تسلسل
decrement, increment	بڑھوتری، کٹوتی
defect (in maths eigenvalues)	خامی
defective, non defective (statistics)	عیب دار، بے عیب
define, definition	تعریف، متعارف، تعریف پیش کرنا
defined: derivative may be defined on an interval	تفرق معین ہو سکتا ہے
defined on an interval (means that it has a value)	معین
definition: by definition	تعریف کی رو سے، تعریفاً
defined: well defined, [ill defined]	پوری طرح معین،  [بد معین]، اچھی طرح معین
defining rule, defining function	تعریفی قاعدہ، تعریفی تفاعل
defines (english)	پہچان
definite, indefinite	غیر مبہم، مبہم
deflect	موڑنا، جھکنا
deform, deformed, mutilate, distort	مسخ کرنا، مسخ شدہ
degeneracy pressure	انحطاطی دباو
degenerate, degeneration, degeneracy	انحطاطی، انحطاط، انحطاط یا انحطاطیت
degenerate: its degeneracy is 4	اس کا انحطاط 4 ہے، اس کی انحطاطیت 4 ہے
degeneracy: lifting of degeneracy	انحطاط کا خاتمہ
degree, quartic	درجہ، چو درجی
Delta connected, star connected (Y-connected)	تکونی جُڑے یا تکون نما جُڑے، ستارا نما جُڑے
deltoid	مثلثی
de Moivre theorem	مسئلہ ڈی موے ور
de Morgan laws	قانون ڈی مارگن
demand matrix	قالب مانگ
demonstrate	ظاہر کرنا
Demonstrative (matric)	اثباتی
demultiplexer	خارجی منتخب کار
denominator	نسب نما (gender=masculine)
dense	کثیف
density	کسی متغیرہ کی اکائی سطح پر قل مقدار کو اس متغیرہ کی کثافت کہتے ہیں
density: free electron density	کثافت آزاد الیکٹران
density, mean density,surface & volume density	کثافت،درمیانی کثافت، سطحی اور حجمی کثافت
dependence, independence	تابعیت، غیر تابعیت
dependent and independent set	غیر تابع سلسلہ
dependent, independent variables	تابع اور آزاد متغیرہ
dependent and independent voltage source	تابع اور غیر تابع منبع دباو
dependent: independently goes to zero	غیر مختارانہ طور پر صفر کو پہنچتا ہو
dependent: path independence	راہ سے آزادی
depends	منحصر
deposit	چڑھانا
derivation	اشتقاق، اشتقاقایت، اشتقاقاً، استنباط، استخراج
derivative, (differential)	تفرق (تفریقی، تفریق)
derive	اخذ کرنا
design, designed, design voltage	بناوٹ، بنائی گئی ہو، تخلیق، بناوٹی دباو
design voltage, current, frequency	بناوٹی دباو، رو،تعدد
designer	تخلیق کار
detector, [sensor]	کاشف، محسس
detect	معلوم کرنا، کشف کرنا
Determinant  (symbol=D or |A| )	مقطع، مقطع قالب (میٹرک کتاب)
determinant: characteristic determinant of A matrix	امتیازی مقطع
determinate, indeterminate	 تعیین، بلا تعیین
determinacy, indeterminacy	تعیّنیت، عدم تعیّنیت
determine, [determined]	تعین کرنا، طے کرنا، [تعین شدہ، متعین]
determined upto multiples of 2	دو کی مضرب تک تعین کی جا سکتی ہے
deterministic	تعیینی
develop	تیار
diagonal, main diagonal	وتر، مرکزی وتر
diagram	شکل
diameter	قطر
dianion	دوہرا منفی بارداریہ
diatomic	دو جوہری
dication	دوہرا مثبت بارداریہ
Die, dice (ludo game), roll a die	پانسہ (لوڈو کھیل)، پانسہ پھینکنا
dice: fair	منصفانہ پانسہ
dielectric	ذوبرق
diffraction, diffraction grating	انکسار امواج، انکساری جالی
difference	فرق
difference equation, calculus of differences	مساوات فرق، احصاء فرقیات
Differences: finite differences	متناہی فرق
differences: first, second, third	پہلا فرق، دوسرا فرق، تیسرا فرق، چوتھا فرق
difference: central difference	وسطی فرق
difference: forward difference	آگے فرق
difference:backward difference	پپیچھے فرق
difference: divided difference	منقسم فرق
difference quotient	تفریقی حاصل تقسیم
differential  (Δf=f(x0+h)-f(x0)), whereas differential equation remains    تفرقی مساوات	تفریق
differential calculus	احصاء تفرقیات
differential mode signal	تفرقی اشارہ
differential equation, partial differential equation	تفرقی مساوات، جُزوی تفرقی مساوات
differential form:exact differential	قطعی تفرقی روپ
differential form: first order differential form	ایک رتبی تفرقی روپ، یک رتبی تفرقی روپ
differential operator	تفرقی عامل
differential, partial differential	تفرق، جُزوی تفرق
differentiate	تفریق کرنا
differentiability	تفرق پذیری
differentiable: single, double, triple, infinitely	ایک گنا، دو گنا، تین گنا قابل تفرق، لامتناہی گنّا قابل تفرق
differentiation, partial differentiation	تفریق، جُزوی تفریق
diffusion, diffusion current	نفوذ، نفوذی برقی رو
diffused, (diffusible)	نفوذ شدہ، (نفوذ پذیر)
diffusive	منفوذی
digit	ہندسہ
digital form: digitize	عددی صورت: عددی صورت دینا
dilution	رقت
dimension, dimensionless	بُعد، بے بعدی، غیر بعدی
dimension	طرف، تین طرفہ
dimension, dimensional	بُعد،ابعاد: ایک مخسوس سمت میں ناپی گئی وسعت
dimensional: two dimensional	دو ابعاد، دو ابعادی
